Date,AOR_Key,Encounter_Count,Count_of_Event,Sum_Qty_(lbs)
2022-01-01,ATLANTA FIELD,1501.0,12.0,6383.96952658546
2022-01-01,BALTIMORE FIELD,1457.0,76.0,237.08172143596522
2022-01-01,BIG BEND,2379.0,42.0,1147.8992
2022-01-01,BLAINE SECTOR,26.0,0.0,0.0
2022-01-01,BOSTON FIELD,2741.0,36.0,310.4139734138942
2022-01-01,BUFFALO FIELD,3169.0,68.0,32.332444189265
2022-01-01,BUFFALO SECTOR,3.0,3.0,0.0509
2022-01-01,CHICAGO FIELD,312.0,1122.0,3905.988582908144
2022-01-01,DEL RIO,31154.0,26.0,8.5228
2022-01-01,DETROIT FIELD,377.0,104.0,5857.072127937463
2022-01-01,DETROIT SECTOR,2.0,0.0,0.0
2022-01-01,EL CENTRO,4830.0,14.0,191.48199999999997
2022-01-01,EL PASO,18811.0,148.0,1249.4081650747933
2022-01-01,GRAND FORKS,8.0,0.0,0.0
2022-01-01,HAVRE SECTOR,2.0,0.0,0.0
2022-01-01,HOULTON SECTOR,4.0,0.0,0.0
2022-01-01,HOUSTON FIELD,5415.0,78.0,1847.9785700475277
2022-01-01,LAREDO FIELD,3031.0,80.0,4237.359676901532
2022-01-01,LAREDO SECTOR,7375.0,25.0,1601.6319999999998
2022-01-01,LOS ANGELES,1766.0,236.0,1856.3579437940762
2022-01-01,MIAMI FIELD,4422.0,658.0,1713.5382796412719
2022-01-01,MIAMI SECTOR,233.0,5.0,16.1719
2022-01-01,NEW ORLEANS,2840.0,119.0,965.0815987775629
2022-01-01,NEW YORK,1242.0,2324.0,5301.467257889362
2022-01-01,PORTLAND FIELD,92.0,6.0,73.63880475324
2022-01-01,PRECLEARANCE FIELD,537.0,34.0,2.1291804339436
2022-01-01,RAMEY SECTOR,314.0,1.0,871.1073
2022-01-01,RIO GRANDE,30232.0,50.0,2908.8305
2022-01-01,SAN DIEGO,15468.0,253.0,5948.356867934543
2022-01-01,SAN FRANCISCO,721.0,146.0,1100.4338313305818
2022-01-01,SAN JUAN,554.0,130.0,409.7924306886464
2022-01-01,SEATTLE FIELD,2174.0,112.0,14.773396638882
2022-01-01,SPOKANE SECTOR,8.0,0.0,0.0
2022-01-01,SWANTON SECTOR,24.0,3.0,0.19099999999999998
2022-01-01,TAMPA FIELD,1456.0,112.0,250.92637670371977
2022-01-01,TUCSON FIELD,554.0,47.0,842.9485921012309
2022-01-01,TUCSON SECTOR,17716.0,73.0,520.1626
2022-01-01,YUMA SECTOR,23858.0,6.0,209.1946
2022-02-01,ATLANTA FIELD,813.0,18.0,7.5884653816234
2022-02-01,BALTIMORE FIELD,1353.0,80.0,297.6180571264736
2022-02-01,BIG BEND,3007.0,47.0,1460.1884000000002
2022-02-01,BLAINE SECTOR,14.0,2.0,0.0868
2022-02-01,BOSTON FIELD,1352.0,34.0,28.898854689746003
2022-02-01,BUFFALO FIELD,3145.0,79.0,23.7462327485082
2022-02-01,BUFFALO SECTOR,3.0,1.0,0.0066
2022-02-01,CHICAGO FIELD,330.0,983.0,4654.5080073316185
2022-02-01,DEL RIO,30815.0,20.0,28.5049
2022-02-01,DETROIT FIELD,359.0,53.0,570.4086684329125
2022-02-01,DETROIT SECTOR,0.0,4.0,2.9411000000000005
2022-02-01,EL CENTRO,5689.0,17.0,283.2527
2022-02-01,EL PASO,21358.0,130.0,435.763842336751
2022-02-01,GRAND FORKS,3.0,0.0,0.0
2022-02-01,HAVRE SECTOR,5.0,0.0,0.0
2022-02-01,HOULTON SECTOR,50.0,1.0,0.037
2022-02-01,HOUSTON FIELD,5165.0,90.0,3976.4849185788344
2022-02-01,LAREDO FIELD,3023.0,96.0,2768.1977960675063
2022-02-01,LAREDO SECTOR,9501.0,19.0,766.2778000000001
2022-02-01,LOS ANGELES,1564.0,214.0,2149.7876588670733
2022-02-01,MIAMI FIELD,1717.0,968.0,1499.7213895585114
2022-02-01,MIAMI SECTOR,55.0,12.0,89.9277
2022-02-01,NEW ORLEANS,1772.0,107.0,697.0047974471089
2022-02-01,NEW YORK,1148.0,2107.0,23610.557186001723
2022-02-01,PORTLAND FIELD,126.0,9.0,23.370432776702998
2022-02-01,PRECLEARANCE FIELD,590.0,30.0,2.1842519069912
2022-02-01,RAMEY SECTOR,135.0,0.0,0.0
2022-02-01,RIO GRANDE,33847.0,52.0,3200.7454999999995
2022-02-01,SAN DIEGO,16449.0,312.0,9187.544798429419
2022-02-01,SAN FRANCISCO,835.0,159.0,396.0698012829088
2022-02-01,SAN JUAN,564.0,101.0,293.1908221658944
2022-02-01,SEATTLE FIELD,2312.0,117.0,19.724251517937397
2022-02-01,SPOKANE SECTOR,7.0,0.0,0.0
2022-02-01,SWANTON SECTOR,40.0,1.0,0.0257
2022-02-01,TAMPA FIELD,679.0,85.0,63.049980263153806
2022-02-01,TUCSON FIELD,577.0,81.0,2758.542188332468
2022-02-01,TUCSON SECTOR,21208.0,95.0,503.6338000000001
2022-02-01,YUMA SECTOR,20968.0,15.0,55.7832
2022-03-01,ATLANTA FIELD,1097.0,27.0,3004.2215191081355
2022-03-01,BALTIMORE FIELD,1271.0,153.0,776.8734507251394
2022-03-01,BIG BEND,3665.0,80.0,282.3634
2022-03-01,BLAINE SECTOR,23.0,4.0,0.0628
2022-03-01,BOSTON FIELD,1199.0,28.0,50.5201619259672
2022-03-01,BUFFALO FIELD,4412.0,170.0,49.204465192577395
2022-03-01,BUFFALO SECTOR,7.0,0.0,0.0
2022-03-01,CHICAGO FIELD,414.0,771.0,4174.00823654132
2022-03-01,DEL RIO,41631.0,26.0,23.5878
2022-03-01,DETROIT FIELD,478.0,145.0,45.6946177966326
2022-03-01,DETROIT SECTOR,1.0,4.0,2.7133
2022-03-01,EL CENTRO,7567.0,10.0,69.4043
2022-03-01,EL PASO,26672.0,133.0,1361.9537293420276
2022-03-01,GRAND FORKS,1.0,0.0,0.0
2022-03-01,HAVRE SECTOR,8.0,0.0,0.0
2022-03-01,HOULTON SECTOR,15.0,3.0,0.1552
2022-03-01,HOUSTON FIELD,6438.0,116.0,90.7675981531038
2022-03-01,LAREDO FIELD,3202.0,124.0,3340.721226702429
2022-03-01,LAREDO SECTOR,13800.0,27.0,931.6469
2022-03-01,LOS ANGELES,1821.0,241.0,1803.9224057358529
2022-03-01,MIAMI FIELD,2158.0,812.0,1137.74290243733
2022-03-01,MIAMI SECTOR,485.0,13.0,27.952
2022-03-01,NEW ORLEANS,1054.0,165.0,743.250486592805
